tconst	averageRating	numVotes
tt0002547	5.8	5
tt0002550	5.2	32
tt0002553	6.6	789
tt0002555	4.8	22
tt0002556	6.0	17
tt0002562	5.1	13
tt0002569	5.2	205
tt0002574	6.2	10
tt0002576	4.5	36
tt0002582	9.0	12
tt0002586	5.0	15
tt0002588	6.1	23
tt0002592	6.9	16
tt0002593	6.0	5
tt0002601	4.8	30
tt0002603	5.1	15
tt0002605	5.6	24
tt0002606	5.4	5
tt0002610	4.7	112
tt0002621	5.3	65
tt0002628	5.6	70
tt0002637	7.2	5
tt0002639	6.1	148
tt0002646	6.6	346
tt0002656	5.5	21
tt0002658	3.7	38
tt0002659	5.4	712
tt0002663	6.0	338
tt0002669	6.6	19
tt0002677	4.5	6
tt0002678	6.3	11
